ID,Translation
177039,বর্তমান ঘটনা
177040,ভগবানকে ধন্যবাদ কিন্তু শিবাজীকে তাঁর বাগদত্তা প্রতারণা করছে ততক্ষণ তিনি তার যৌবনে খুশি তাই সে তার শাস্তি হিসাবে
177041,মাথা ব্যাথা অথবা ছাতি বা নাকে চুলকানি মাঝে এক বার লাগালে আরাম পাওয়া যায় ৷
177042,তাকে বলে যে তাকে ভালবাসে যে সে তার মধুর বলে মনে করে তাদের মধুর বলে মনে করেন এবং
177043,অস্ট্রেলিয়া ব্রাজিল এর উল্লেখযোগ্য শতাংশ দুরে অবস্থিত ।
177044,আমার রাতের খাবারের জন্য কি
177045,সালে ভারতের একটি সাক্ষাৎকারে টেলিভিশন ভারতীয় পত্রিকার মধ্যে কখনই বড় ভাই বোনেরা।
177046,মাদ্রাজ হাইকোর্ট জীবনের প্রধান বিভাজন এড়ানো ব্যক্তিত্ব ধর্মস্থান ইত্যাদি ।
177047,যে দেশের অনেক মজার বিষয় হল দেশের অনেক জায়গা যা দেশের কিছু বিষয় ৷
177048,এটা ভারতীয় সূচক কোম্পানিকে বিশ্বাসের
177049,রানী ভিক্টোরিয়ার প্রকৃত সময় সত্যিই নাম পেয়েছিল ।
177050,আপনি কিভাবে খাবার খেতে পারেন
177051,আকাশ কুসুম গরম ও বাকি অংশের সাথে যুক্ত করে দেশের বাকি অংশে সবুজ বিপ্লব গড়ে তুলতে পারে।
177052,কার্তিক বা তিনটে মন্দির চৌহান বিজয়ের নির্মাণ করা হয় তার ঘর সাজানোর জিনিসে ছিল ৷
177053,﻿এই অট্টালিকাটি তম শতক থেকে আইনগত খ্রিষ্টান রক শব্দটি আদি ধর্ম ঐতিহাসিক স্থান রয়েছে।
177054,দ্রুত
177055,এটি ব্যবহার করা হয় ।
177056,এসএমআই থিয়েটারের মৃতদেহ এবং উত্তর প্রদেশের সরাসরি নির্বাচিত পরিচিতদের নাম প্রতিষ্ঠা দিবস হিসাবে প্রতিষ্ঠা করেন।
177057,মন্দিরে একটা পাথরের ওপরে এই মন্দিরে আদিনাথের এক জায়গা আছে যা এগুলির মধ্যে অবস্থিত রয়েছে ৷
177058,ফলাফল শিল্পকে সংকর পার্থক্য সুস্পষ্ট হবে আর খরচ ভাগ আর খরচও কম হবে ৷
177059,কংগ্রেস পার্টির শক্তি বাড়াতে এবং এটা ছেড়ে দিতে হয়।
177060,আপনি কি আমাকে পিৎজা জন্য বিরিয়ানি এবং বিরিয়ানি থেকে কিছু পেতে সাহায্য করতে পারেন
177061,থেকে বয়সের পর থেকে শুরু হয়ে গেলে ত্বকের উপর দাগ ছোপ দেখা যায় ৷
177062,আন্তর্জাতিক নারী দিবসের শীর্ষ সংবাদ
177063,সংক্রামন ঘটার সময় থেকে আমেরিকা ভাইরাস ভ্যাকসিন তে না কিন্তু মধ্যে একটি খ্রিষ্টীয় য় শতাব্দী এক্সপ্রেস মারা যায়।
177064,বড় সাফল্য লাভ করেছে রাধা সবুজ বিপ্লব দশ শতাংশ পর্যন্ত তার জন্যে শিশুকে মাটির শত্রু হয়ে গেছে ৷
177065,দিন পর এই উপহ্রদটি লাগে ৷
177066,ভারত বিরোধী আইনের জন্য একটি বন্ধুত্বপূর্ণ সংগঠন ভারতের বিভিন্ন দেশে নির্বাচিত হন এবং ভারতকে নেতৃত্ব প্রদান করে।
177067,উত্তরাখণ্ড আতিথেয়তা সঙ্গে সীমান্ত ভাগ করে দেয় ׀
177068,কেন্দ্রীয় সরকার স্যার সিরিল অমরচাঁদ মঙ্গলদাসকে সমূহের মধ্যে ইউরোপিয়ান গঠনাকৃতির ভালো করে দিয়েছে কারণ এখানে পশুপালন ব্যবস্থা তৈরী
177069,এ ছাড়া শতকের বিরুদ্ধে অভিযান ছাড়াও অসম ব্যক্তিগত তথ্য দেয় ।
177070,এমনকি ঐতিহাসিকরা এখানে যে কোথাও বিস্তারিত বিবরণ দেবেন কখনই এখানে এসে তাদের বিস্তারিত বিবরণ দেয় ׀
177071,এই ডীমগুলি থেকে দিনেই ফেটে জায় ৷
177072,এটা কেমন আবহাওয়া কেমন
177073,এসি দিয়ে বাড়ি যাওয়ার জন্য উপমহাকর্মাধ্যক্ষ হয় ।
177074,অন্য একটি বিকল্প কাজ করার সময় তাহলে অন্য কাজ সর্বদা কাউকে সম্পূর্ণভাবে বার করাটা মনোরঞ্জনের লাগাম টানা হয়
177075,শিশুর সম্পর্কে কথা বলতে বলতে বলতে বলুন।
177076,কোন সাংঘাতিক রক্ত বেশি রক্তপাত হয়ে যায় ׀
177077,অন্য ধরনের ক্ষত থেকে বাঁচতে পারে এমন এক ছাত্রকে অপহরণ মুক্তিপণ দাবি সময়।
177078,ধৌলি পাহাড়ের উপরের স্তর যেতে পারে।
177079,এই জন্য আপনার ইঞ্চি ও ইঞ্চি থেকে লাগান যার ক্ষত মুখের দুর্গন্ধ থাকে।
177080,এই জন্য তাঁকে বিগ ব্যায়াম করেন ও গবেষকরা রঙীন শিল্প পছন্দ করে।
177081,রেডিও ভারতীয় কলাকে দাস সম্প্রদায়ের বলা হয় যারা একজন বলা হয়।
177082,এই লোকের জীবনের ঘটনা নয় ।
177083,বেশিরভাগ ময়দানে পরম্পরাগত শতাব্দীতে নির্মিত হৃদে খালি করে দেওয়া হয় ও ভৌগোলিক অবস্থান করে।
177084,মদের প্রধান মদের উদ্দেশ্যে ফল হল হজম করা ৷
177085,আসমা তালিকার পরবর্তী কি কি
177086,পোলিও সঙ্গে অ্যাকিউট অবস্থা যখন শিশুদের জন্য মানুষের কঠোর বয়স্ক দিন পর্যন্ত এটি কঠোর পরিশ্রম করতে পারে।
177087,বারদোলী তে যাবেন ডিমাপুর এই জায়গাতে আপনি অন্য ডেস্টিনেশন হবেন হাজার ঝাঁকে আসা দেয়।
177088,পেঁয়াজ রসুন দাঁত বলে মনে করা হয় ৷
177089,দয়া করে আমার একটি হাতির পাঠান
177090,সালে নির্মিত ভারতের সংসদ অধিভুক্ত না সালের ই শতাব্দীর রাজার পরিদর্শন করেন এবং দেবী মেরীর আরাধনা করা হয়েছিল।
177091,এখানে এখানে কি নির্মিত হয়েছে গ্রামীণ শিল্প মেলার মধ্যে একটি ৷
177092,যদি আপনি যাবেন না যান তাহলে সমুদ্রে পৌঁছাতে পারেন তাহলে সমুদ্রের জলে যাত্রীরা সব ঘন্টা বিশ্রাম করতে পারেন।
177093,চিনি হল সাদা বিষ ׀
177094,পাঞ্জাব প্রদেশের অংশ প্রদেশে অংশ বানানো হয় ৷
177095,এবং ও জ্বালা একসঙ্গে আর এ আর নীল করে দু থেকে সারা বছর ধরেই এটা দেখেন এবং মিলিয়ন
177096,অনলাইনে দেখুন এবং আপনি যে জিনিসগুলি পেতে এবং দোকান বন্ধ করতে হবে।
177097,যদি কোনও মহিলার গর্ভনিরোধক ওষুধ নেওয়ার জন্য তাহলে চুলের আর্দ্রতা ব্যবহার করা হয় ৷
177098,ভারতে চাল প্রায় শতাংশ চাল হল ৷
177099,এই খেলাটি জনপ্রিয় এবং ভারতীয় ইতিহাসে ভারতের অন্যতম জনপ্রিয় এবং ভারতের প্রথম রাজধানী শহর হিসাবে গড়ে উঠেছে।
177100,যেকোনো কখনও কি কখনো আছে
177101,আমাকে এক মাসের পর সময়সূচীতে যোগ করুন
177102,হালকা মাডপ্যাক্ কমলা বোতলের আমেরিকানদের হৃদয় পরিষ্কার পরিচ্ছন্নতা পরিষ্কার করে বলে চিহ্নিত করা হয় ৷
177103,এই পুরানো লতাকে কেবল পরে প্রাচীন দুর্গটি বলা হয় ৷
177104,রাজা ছেলে ছিল যখন রাজা স্ত্রী না তখন সেই সময়ে ঘাবড়ে যায় তখন লেখা হয়েছিল ৷
177105,কিন্তু মনে রাখবেন যে দাম নয় বরং এটা কেবলমাত্র চিন্তা থেকে কেবল মাত্র সমস্ত খরচ পড়ে ৷
177106,ভলিয়ম সামান্য জাহাজ রয়েছে।
177107,এই ওষুধগুলির মূলের টনিক নেওয়ার জন্য চিকিত্সকের সাথে লড়তে হয় ৷
177108,এখানে সফল কাজ হয় যিনি এটা ছিলেন না এবং সামাজিক কাজের জন্য একজন সফল চলচ্চিত্র নয় ৷
177109,আমি যখন হিরানি প্রথমে তখন এ অনুভব করি তখন এ নির্দেশ দেওয়া হয়েছিল।
177110,উদ্যানে পর্যটকরা জায়গাটি একসময় অনেক দূরে অবস্থিত বিহার থেকে বাগান দূরে অবস্থিত রয়েছে ׀
177111,এই রোগে সাধারণতঃ বছরের সবচেয়ে গুরুত্বপূর্ণ তথ্য দিন ৷
177112,তিনি এই বিবেচনা করেন যে তিনি তা সফলভাবে পালন করেছিলেন তা তুলে ধরেছেন।
177113,এই ওষুধ দিলে বাচ্চা জন্মজাত বিকার থেকে করা বাচ্চাদের বাচ্চা ছোটো বা নাকে সমস্যা আছে ৷
177114,স্ত্রী পুরুষদের অবাক হবেন যে মানুষেরা এখানে অনেক বেশি দেখা গেছে ৷
